Actual,Prediction
0.0,7.7402396
14.0,6.5332046
14.0,7.0958853
0.0,8.246417
0.0,8.191568
0.0,7.406264
0.0,6.3605037
0.0,6.3399553
0.0,8.157295
0.0,6.1383085
0.0,6.075651
0.0,7.084349
0.0,6.1479383
0.0,6.254878
0.0,6.2078447
30.0,9.129739
0.0,9.019649
0.0,7.882141
0.0,5.868997
0.0,6.115556
0.0,7.0520053
0.0,5.8439074
0.0,7.1586046
1.0,5.981611
0.0,7.5431457
0.0,6.085042
0.0,6.263265
0.0,8.131323
0.0,5.78243
0.0,7.2821956
0.0,5.808461
0.0,5.7256765
0.0,5.8181076
0.0,5.9367385
0.0,8.769951
3.0,5.755229
0.0,5.737674
0.0,7.665836
0.0,5.7648754
1.0,5.7528777
0.0,10.963734
0.0,7.1972337
0.0,6.382201
1.0,7.379815
12.0,11.025876
0.0,6.15979
0.0,7.2867827
0.0,7.8290353
0.0,7.984746
0.0,6.5220933
0.0,8.855819
0.0,11.978813
0.0,6.483014
0.0,7.6005096
0.0,5.899491
0.0,5.768345
0.0,5.7946696
