Actual,Prediction
0.0,4.132758
0.0,4.3872347
0.0,4.3872347
0.0,4.377788
0.0,4.377788
0.0,5.1070285
2.0,8.67852
0.0,9.377577
10.0,5.8741407
0.0,5.401529
0.0,5.6017303
10.0,4.752816
1.0,5.697524
3.0,4.767063
0.0,7.801423
0.0,5.6110134
0.0,6.104966
1.0,5.6205053
12.0,5.8771796
0.0,6.0441456
0.0,5.5027328
1.0,6.232034
20.0,7.444219
30.0,11.816967
0.0,9.869589
0.0,6.9466114
20.0,10.913362
6.0,12.809486
30.0,11.556489
5.0,10.518233
37.0,14.276714
28.0,9.563031
2.0,5.3522806
27.0,7.3944187
0.0,7.0576625
19.0,12.623
50.0,14.08397
1.0,14.208748
0.0,8.140289
55.0,11.716318
22.0,12.364655
50.0,7.090019
1.0,7.6374187
2.0,5.296485
0.0,7.6889725
0.0,6.5916924
0.0,4.952677
0.0,7.6044803
0.0,6.487682
0.0,5.578751
0.0,5.420517
0.0,5.469557
1.0,5.727967
4.0,7.0439973
26.0,6.8618474
19.0,6.9860573
25.0,6.0531855
0.0,5.3335056
1.0,8.28615
0.0,6.744593
0.0,8.736248
8.0,10.477564
2.0,6.169332
0.0,4.6555405
0.0,6.381887
24.0,5.8347826
0.0,6.856262
19.0,11.516026
6.0,9.45865
0.0,6.2611127
8.0,5.317972
0.0,6.345799
35.0,5.4963813
10.0,6.326347
10.0,5.536637
0.0,5.6915708
0.0,4.647556
0.0,5.2628345
